sample,cram_path,fastq_prefix,sample_supplier_name,library_type,total_reads
4861STDY7135912,/seq/24133/24133_6#7.cram,4861STDY7135912_S3_L006,C_CD45,Chromium single cell,25172046
4861STDY7135912,/seq/24133/24133_7#7.cram,4861STDY7135912_S3_L007,C_CD45,Chromium single cell,25957652
4861STDY7135912,/seq/24133/24133_8#6.cram,4861STDY7135912_S3_L008,C_CD45,Chromium single cell,20931898
4861STDY7135912,/seq/24133/24133_1#8.cram,4861STDY7135912_S4_L001,C_CD45,Chromium single cell,21601688
4861STDY7135912,/seq/24133/24133_2#8.cram,4861STDY7135912_S4_L002,C_CD45,Chromium single cell,21379460
4861STDY7135912,/seq/24133/24133_3#6.cram,4861STDY7135912_S4_L003,C_CD45,Chromium single cell,20065408
4861STDY7135912,/seq/24133/24133_4#7.cram,4861STDY7135912_S4_L004,C_CD45,Chromium single cell,26260974
4861STDY7135912,/seq/24133/24133_5#7.cram,4861STDY7135912_S4_L005,C_CD45,Chromium single cell,24523808
4861STDY7135912,/seq/24133/24133_6#5.cram,4861STDY7135912_S4_L006,C_CD45,Chromium single cell,21532698
4861STDY7135912,/seq/24133/24133_7#6.cram,4861STDY7135912_S4_L007,C_CD45,Chromium single cell,20549126
4861STDY7135912,/seq/24133/24133_8#7.cram,4861STDY7135912_S4_L008,C_CD45,Chromium single cell,26485902
4861STDY7208417,/seq/24673/24673_4#29.cram,4861STDY7208417_S1_L001,A7_tCo_F1_CD45,Chromium single cell,24282352
4861STDY7208417,/seq/24673/24673_5#29.cram,4861STDY7208417_S1_L002,A7_tCo_F1_CD45,Chromium single cell,23798836
4861STDY7208417,/seq/24673/24673_6#31.cram,4861STDY7208417_S1_L003,A7_tCo_F1_CD45,Chromium single cell,17772630
4861STDY7208417,/seq/24674/24674_3#29.cram,4861STDY7208417_S1_L004,A7_tCo_F1_CD45,Chromium single cell,24720260
4861STDY7208417,/seq/24674/24674_4#32.cram,4861STDY7208417_S1_L005,A7_tCo_F1_CD45,Chromium single cell,32587708
4861STDY7208417,/seq/24674/24674_5#30.cram,4861STDY7208417_S1_L006,A7_tCo_F1_CD45,Chromium single cell,21492802
4861STDY7208417,/seq/24674/24674_6#32.cram,4861STDY7208417_S1_L007,A7_tCo_F1_CD45,Chromium single cell,31838310
4861STDY7208417,/seq/24674/24674_7#30.cram,4861STDY7208417_S1_L008,A7_tCo_F1_CD45,Chromium single cell,21914202
4861STDY7208417,/seq/24673/24673_4#31.cram,4861STDY7208417_S2_L001,A7_tCo_F1_CD45,Chromium single cell,18125538
4861STDY7208417,/seq/24673/24673_5#31.cram,4861STDY7208417_S2_L002,A7_tCo_F1_CD45,Chromium single cell,17794080
4861STDY7208417,/seq/24673/24673_6#32.cram,4861STDY7208417_S2_L003,A7_tCo_F1_CD45,Chromium single cell,32498980
4861STDY7208417,/seq/24674/24674_3#31.cram,4861STDY7208417_S2_L004,A7_tCo_F1_CD45,Chromium single cell,18596178
4861STDY7208417,/seq/24674/24674_4#31.cram,4861STDY7208417_S2_L005,A7_tCo_F1_CD45,Chromium single cell,17615596
4861STDY7208417,/seq/24674/24674_5#29.cram,4861STDY7208417_S2_L006,A7_tCo_F1_CD45,Chromium single cell,24298338
4861STDY7208417,/seq/24674/24674_6#29.cram,4861STDY7208417_S2_L007,A7_tCo_F1_CD45,Chromium single cell,23031708
4861STDY7208417,/seq/24674/24674_7#31.cram,4861STDY7208417_S2_L008,A7_tCo_F1_CD45,Chromium single cell,18732384
4861STDY7208417,/seq/24673/24673_4#30.cram,4861STDY7208417_S3_L001,A7_tCo_F1_CD45,Chromium single cell,21215952
4861STDY7208417,/seq/24673/24673_5#32.cram,4861STDY7208417_S3_L002,A7_tCo_F1_CD45,Chromium single cell,33179774
4861STDY7208417,/seq/24673/24673_6#30.cram,4861STDY7208417_S3_L003,A7_tCo_F1_CD45,Chromium single cell,20886120
4861STDY7208417,/seq/24674/24674_3#30.cram,4861STDY7208417_S3_L004,A7_tCo_F1_CD45,Chromium single cell,21741986
4861STDY7208417,/seq/24674/24674_4#30.cram,4861STDY7208417_S3_L005,A7_tCo_F1_CD45,Chromium single cell,20667844
4861STDY7208417,/seq/24674/24674_5#32.cram,4861STDY7208417_S3_L006,A7_tCo_F1_CD45,Chromium single cell,34125018
4861STDY7208417,/seq/24674/24674_6#31.cram,4861STDY7208417_S3_L007,A7_tCo_F1_CD45,Chromium single cell,17352916
4861STDY7208417,/seq/24674/24674_7#29.cram,4861STDY7208417_S3_L008,A7_tCo_F1_CD45,Chromium single cell,24839436
4861STDY7208417,/seq/24673/24673_4#32.cram,4861STDY7208417_S4_L001,A7_tCo_F1_CD45,Chromium single cell,33488538
4861STDY7208417,/seq/24673/24673_5#30.cram,4861STDY7208417_S4_L002,A7_tCo_F1_CD45,Chromium single cell,20920298
4861STDY7208417,/seq/24673/24673_6#29.cram,4861STDY7208417_S4_L003,A7_tCo_F1_CD45,Chromium single cell,23728606
4861STDY7208417,/seq/24674/24674_3#32.cram,4861STDY7208417_S4_L004,A7_tCo_F1_CD45,Chromium single cell,34119224
4861STDY7208417,/seq/24674/24674_4#29.cram,4861STDY7208417_S4_L005,A7_tCo_F1_CD45,Chromium single cell,23439842
4861STDY7208417,/seq/24674/24674_5#31.cram,4861STDY7208417_S4_L006,A7_tCo_F1_CD45,Chromium single cell,18254742
4861STDY7208417,/seq/24674/24674_6#30.cram,4861STDY7208417_S4_L007,A7_tCo_F1_CD45,Chromium single cell,20369510
4861STDY7208417,/seq/24674/24674_7#32.cram,4861STDY7208417_S4_L008,A7_tCo_F1_CD45,Chromium single cell,34689244
HCA_P_GON_CZI12139598,/seq/illumina/runs/43/43617/lane2/plex1/43617_2#1.cram,HCA_P_GON_CZI12139598_S1_L001,AUrv2-OVR0FT-EG2a_mG,Chromium single cell 3 prime v3,2918053958
Human_colon_16S8000511,/seq/30315/30315_1#52.cram,Human_colon_16S8000511_S1_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,211532
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex50/30786_1#50.cram,Human_colon_16S8000511_S1_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,80591686
Human_colon_16S8000511,/seq/30315/30315_1#50.cram,Human_colon_16S8000511_S2_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,340986
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex49/30786_1#49.cram,Human_colon_16S8000511_S2_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,40310060
Human_colon_16S8000511,/seq/30315/30315_1#51.cram,Human_colon_16S8000511_S3_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,123036
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex52/30786_1#52.cram,Human_colon_16S8000511_S3_L002,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,46915804
Human_colon_16S8000511,/seq/30315/30315_1#49.cram,Human_colon_16S8000511_S4_L001,A32-SCL-0-SC-45N-1,Chromium single cell 5 prime,195698
