sample,cram_path,fastq_prefix
4861STDY7208417,/seq/24674/24674_5#29.cram,4861STDY7208417_S2_L006
4861STDY7208417,/seq/24674/24674_6#29.cram,4861STDY7208417_S2_L007
4861STDY7208417,/seq/24674/24674_7#31.cram,4861STDY7208417_S2_L008
4861STDY7208417,/seq/24673/24673_4#30.cram,4861STDY7208417_S3_L001
4861STDY7208417,/seq/24673/24673_5#32.cram,4861STDY7208417_S3_L002
4861STDY7208417,/seq/24673/24673_6#30.cram,4861STDY7208417_S3_L003
4861STDY7208417,/seq/24674/24674_3#30.cram,4861STDY7208417_S3_L004
4861STDY7208417,/seq/24674/24674_4#30.cram,4861STDY7208417_S3_L005
4861STDY7208417,/seq/24674/24674_5#32.cram,4861STDY7208417_S3_L006
4861STDY7208417,/seq/24674/24674_6#31.cram,4861STDY7208417_S3_L007
4861STDY7208417,/seq/24674/24674_7#29.cram,4861STDY7208417_S3_L008
4861STDY7208417,/seq/24673/24673_4#32.cram,4861STDY7208417_S4_L001
4861STDY7208417,/seq/24673/24673_5#30.cram,4861STDY7208417_S4_L002
4861STDY7208417,/seq/24673/24673_6#29.cram,4861STDY7208417_S4_L003
4861STDY7208417,/seq/24674/24674_3#32.cram,4861STDY7208417_S4_L004
4861STDY7208417,/seq/24674/24674_4#29.cram,4861STDY7208417_S4_L005
4861STDY7208417,/seq/24674/24674_5#31.cram,4861STDY7208417_S4_L006
4861STDY7208417,/seq/24674/24674_6#30.cram,4861STDY7208417_S4_L007
4861STDY7208417,/seq/24674/24674_7#32.cram,4861STDY7208417_S4_L008
HCA_P_GON_CZI12139598,/seq/illumina/runs/43/43617/lane2/plex1/43617_2#1.cram,HCA_P_GON_CZI12139598_S1_L001
Human_colon_16S8000511,/seq/30315/30315_1#52.cram,Human_colon_16S8000511_S1_L001
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex50/30786_1#50.cram,Human_colon_16S8000511_S1_L002
Human_colon_16S8000511,/seq/30315/30315_1#50.cram,Human_colon_16S8000511_S2_L001
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex49/30786_1#49.cram,Human_colon_16S8000511_S2_L002
Human_colon_16S8000511,/seq/30315/30315_1#51.cram,Human_colon_16S8000511_S3_L001
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex52/30786_1#52.cram,Human_colon_16S8000511_S3_L002
Human_colon_16S8000511,/seq/30315/30315_1#49.cram,Human_colon_16S8000511_S4_L001
Human_colon_16S8000511,/seq/illumina/runs/30/30786/lane1/plex51/30786_1#51.cram,Human_colon_16S8000511_S4_L002
Human_colon_16S8000513,/seq/30315/30315_1#53.cram,Human_colon_16S8000513_S1_L001
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex55/30786_1#55.cram,Human_colon_16S8000513_S1_L002
Human_colon_16S8000513,/seq/30315/30315_1#56.cram,Human_colon_16S8000513_S2_L001
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex53/30786_1#53.cram,Human_colon_16S8000513_S2_L002
Human_colon_16S8000513,/seq/30315/30315_1#55.cram,Human_colon_16S8000513_S3_L001
Human_colon_16S8000513,/seq/illumina/runs/30/30786/lane1/plex54/30786_1#54.cram,Human_colon_16S8000513_S3_L002
