sample,cram_path,fastq_prefix,sample_supplier_name,library_type,num_reads_processed,total_reads,r1len,r2len,i1len,i2len
4861STDY7135912,/seq/24133/24133_5#5.cram,4861STDY7135912_S2_L005,C_CD45,Chromium single cell,20988746,20988746,26,98,8,—
4861STDY7135912,/seq/24133/24133_6#6.cram,4861STDY7135912_S2_L006,C_CD45,Chromium single cell,19892512,19892512,26,98,8,—
4861STDY7135912,/seq/24133/24133_7#8.cram,4861STDY7135912_S2_L007,C_CD45,Chromium single cell,22470466,22470466,26,98,8,—
4861STDY7135912,/seq/24133/24133_8#8.cram,4861STDY7135912_S2_L008,C_CD45,Chromium single cell,22923548,22923548,26,98,8,—
4861STDY7135912,/seq/24133/24133_1#6.cram,4861STDY7135912_S3_L001,C_CD45,Chromium single cell,19743962,19743962,26,98,8,—
4861STDY7135912,/seq/24133/24133_2#6.cram,4861STDY7135912_S3_L002,C_CD45,Chromium single cell,19586280,19586280,26,98,8,—
4861STDY7135912,/seq/24133/24133_3#5.cram,4861STDY7135912_S3_L003,C_CD45,Chromium single cell,21785864,21785864,26,98,8,—
4861STDY7135912,/seq/24133/24133_4#5.cram,4861STDY7135912_S3_L004,C_CD45,Chromium single cell,22546700,22546700,26,98,8,—
4861STDY7135912,/seq/24133/24133_5#8.cram,4861STDY7135912_S3_L005,C_CD45,Chromium single cell,20920328,20920328,26,98,8,—
4861STDY7135912,/seq/24133/24133_6#7.cram,4861STDY7135912_S3_L006,C_CD45,Chromium single cell,25172046,25172046,26,98,8,—
4861STDY7135912,/seq/24133/24133_7#7.cram,4861STDY7135912_S3_L007,C_CD45,Chromium single cell,25957652,25957652,26,98,8,—
4861STDY7135912,/seq/24133/24133_8#6.cram,4861STDY7135912_S3_L008,C_CD45,Chromium single cell,20931898,20931898,26,98,8,—
4861STDY7135912,/seq/24133/24133_1#8.cram,4861STDY7135912_S4_L001,C_CD45,Chromium single cell,21601688,21601688,26,98,8,—
4861STDY7135912,/seq/24133/24133_2#8.cram,4861STDY7135912_S4_L002,C_CD45,Chromium single cell,21379460,21379460,26,98,8,—
4861STDY7135912,/seq/24133/24133_3#6.cram,4861STDY7135912_S4_L003,C_CD45,Chromium single cell,20065408,20065408,26,98,8,—
4861STDY7135912,/seq/24133/24133_4#7.cram,4861STDY7135912_S4_L004,C_CD45,Chromium single cell,26260974,26260974,26,98,8,—
4861STDY7135912,/seq/24133/24133_5#7.cram,4861STDY7135912_S4_L005,C_CD45,Chromium single cell,24523808,24523808,26,98,8,—
4861STDY7135912,/seq/24133/24133_6#5.cram,4861STDY7135912_S4_L006,C_CD45,Chromium single cell,21532698,21532698,26,98,8,—
4861STDY7135912,/seq/24133/24133_7#6.cram,4861STDY7135912_S4_L007,C_CD45,Chromium single cell,20549126,20549126,26,98,8,—
4861STDY7135912,/seq/24133/24133_8#7.cram,4861STDY7135912_S4_L008,C_CD45,Chromium single cell,26485902,26485902,26,98,8,—
4861STDY7208417,/seq/24673/24673_4#29.cram,4861STDY7208417_S1_L001,A7_tCo_F1_CD45,Chromium single cell,24282352,24282352,26,98,8,—
4861STDY7208417,/seq/24673/24673_5#29.cram,4861STDY7208417_S1_L002,A7_tCo_F1_CD45,Chromium single cell,23798836,23798836,26,98,8,—
4861STDY7208417,/seq/24673/24673_6#31.cram,4861STDY7208417_S1_L003,A7_tCo_F1_CD45,Chromium single cell,17772630,17772630,26,98,8,—
4861STDY7208417,/seq/24674/24674_3#29.cram,4861STDY7208417_S1_L004,A7_tCo_F1_CD45,Chromium single cell,24720260,24720260,26,98,8,—
4861STDY7208417,/seq/24674/24674_4#32.cram,4861STDY7208417_S1_L005,A7_tCo_F1_CD45,Chromium single cell,32587708,32587708,26,98,8,—
4861STDY7208417,/seq/24674/24674_5#30.cram,4861STDY7208417_S1_L006,A7_tCo_F1_CD45,Chromium single cell,21492802,21492802,26,98,8,—
4861STDY7208417,/seq/24674/24674_6#32.cram,4861STDY7208417_S1_L007,A7_tCo_F1_CD45,Chromium single cell,31838310,31838310,26,98,8,—
4861STDY7208417,/seq/24674/24674_7#30.cram,4861STDY7208417_S1_L008,A7_tCo_F1_CD45,Chromium single cell,21914202,21914202,26,98,8,—
4861STDY7208417,/seq/24673/24673_4#31.cram,4861STDY7208417_S2_L001,A7_tCo_F1_CD45,Chromium single cell,18125538,18125538,26,98,8,—
4861STDY7208417,/seq/24673/24673_5#31.cram,4861STDY7208417_S2_L002,A7_tCo_F1_CD45,Chromium single cell,17794080,17794080,26,98,8,—
4861STDY7208417,/seq/24673/24673_6#32.cram,4861STDY7208417_S2_L003,A7_tCo_F1_CD45,Chromium single cell,32498980,32498980,26,98,8,—
4861STDY7208417,/seq/24674/24674_3#31.cram,4861STDY7208417_S2_L004,A7_tCo_F1_CD45,Chromium single cell,18596178,18596178,26,98,8,—
4861STDY7208417,/seq/24674/24674_4#31.cram,4861STDY7208417_S2_L005,A7_tCo_F1_CD45,Chromium single cell,17615596,17615596,26,98,8,—
4861STDY7208417,/seq/24674/24674_5#29.cram,4861STDY7208417_S2_L006,A7_tCo_F1_CD45,Chromium single cell,24298338,24298338,26,98,8,—
4861STDY7208417,/seq/24674/24674_6#29.cram,4861STDY7208417_S2_L007,A7_tCo_F1_CD45,Chromium single cell,23031708,23031708,26,98,8,—
4861STDY7208417,/seq/24674/24674_7#31.cram,4861STDY7208417_S2_L008,A7_tCo_F1_CD45,Chromium single cell,18732384,18732384,26,98,8,—
4861STDY7208417,/seq/24673/24673_4#30.cram,4861STDY7208417_S3_L001,A7_tCo_F1_CD45,Chromium single cell,21215952,21215952,26,98,8,—
4861STDY7208417,/seq/24673/24673_5#32.cram,4861STDY7208417_S3_L002,A7_tCo_F1_CD45,Chromium single cell,33179774,33179774,26,98,8,—
4861STDY7208417,/seq/24673/24673_6#30.cram,4861STDY7208417_S3_L003,A7_tCo_F1_CD45,Chromium single cell,20886120,20886120,26,98,8,—
4861STDY7208417,/seq/24674/24674_3#30.cram,4861STDY7208417_S3_L004,A7_tCo_F1_CD45,Chromium single cell,21741986,21741986,26,98,8,—
4861STDY7208417,/seq/24674/24674_4#30.cram,4861STDY7208417_S3_L005,A7_tCo_F1_CD45,Chromium single cell,20667844,20667844,26,98,8,—
4861STDY7208417,/seq/24674/24674_5#32.cram,4861STDY7208417_S3_L006,A7_tCo_F1_CD45,Chromium single cell,34125018,34125018,26,98,8,—
4861STDY7208417,/seq/24674/24674_6#31.cram,4861STDY7208417_S3_L007,A7_tCo_F1_CD45,Chromium single cell,17352916,17352916,26,98,8,—
4861STDY7208417,/seq/24674/24674_7#29.cram,4861STDY7208417_S3_L008,A7_tCo_F1_CD45,Chromium single cell,24839436,24839436,26,98,8,—
4861STDY7208417,/seq/24673/24673_4#32.cram,4861STDY7208417_S4_L001,A7_tCo_F1_CD45,Chromium single cell,33488538,33488538,26,98,8,—
4861STDY7208417,/seq/24673/24673_5#30.cram,4861STDY7208417_S4_L002,A7_tCo_F1_CD45,Chromium single cell,20920298,20920298,26,98,8,—
4861STDY7208417,/seq/24673/24673_6#29.cram,4861STDY7208417_S4_L003,A7_tCo_F1_CD45,Chromium single cell,23728606,23728606,26,98,8,—
4861STDY7208417,/seq/24674/24674_3#32.cram,4861STDY7208417_S4_L004,A7_tCo_F1_CD45,Chromium single cell,34119224,34119224,26,98,8,—
